anio,municipio,programa,numero_apoyos,apoyo_estatal,apoyo_municipal,aportacion_productor,total
2024,SAN JOAQUÍN,DINAMISMO AGROALIMENTARIO,3,99593.00,0.00,110407.00,210000.00
2024,SAN JOAQUÍN,MUNICIPALIZADO,295,2000000.00,2000000.00,2194286.64,6194286.64
2024,SAN JUAN DEL RÍO,DINAMISMO AGROALIMENTARIO,169,5894003.00,0.00,8808444.47,14702447.47
2024,SAN JUAN DEL RÍO,MUNICIPALIZADO,256,5000000.00,5000000.00,12213397.00,22213397.00
2024,TEQUISQUIAPAN,DINAMISMO AGROALIMENTARIO,52,2077568.00,0.00,4124226.58,6201794.58
2024,TOLIMÁN,DINAMISMO AGROALIMENTARIO,27,999740.00,0.00,2204793.24,3204533.24
2025,AMEALCO DE BONFIL,APÍCOLAS,2,11705.00,0.00,0.00,11705.00
2025,AMEALCO DE BONFIL,AVENA Y GARBANZO,727,2835000.00,0.00,0.00,2835000.00
2025,AMEALCO DE BONFIL,BORDERÍA,36,2478897.00,0.00,1818554.16,4297451.16
2025,AMEALCO DE BONFIL,DINAMISMO AGROALIMENTARIO,607,15493592.00,0.00,18386843.41,33880435.41
2025,AMEALCO DE BONFIL,MAÍZ BLANCO,5180,8522709.00,0.00,0.00,8522709.00
2025,AMEALCO DE BONFIL,PACAS Y SUPLEMENTOS,1,2856.00,0.00,0.00,2856.00
2025,AMEALCO DE BONFIL,TECNIFICACIÓN,1,31301.00,0.00,13415.86,44716.86
2025,ARROYO SECO,ACUÍCOLAS,20,132704.00,0.00,0.00,132704.00
2025,ARROYO SECO,APÍCOLAS,25,125243.50,0.00,0.00,125243.50
2025,ARROYO SECO,AVENA Y GARBANZO,106,537400.00,0.00,0.00,537400.00
2025,ARROYO SECO,BORDERÍA,20,1421710.00,0.00,690958.00,2112668.00
2025,ARROYO SECO,DINAMISMO AGROALIMENTARIO,61,2229127.00,0.00,2196269.70,4425396.70
2025,ARROYO SECO,MAÍZ BLANCO,709,1543876.00,0.00,0.00,1543876.00
2025,ARROYO SECO,MUNICIPALIZADO,865,3000000.00,3000000.00,3132580.00,9132580.00
2025,ARROYO SECO,PACAS Y SUPLEMENTOS,350,1515976.00,0.00,0.00,1515976.00
2025,CADEREYTA DE MONTES,APÍCOLAS,1,7023.00,0.00,0.00,7023.00
2025,CADEREYTA DE MONTES,AVENA Y GARBANZO,108,540000.00,0.00,0.00,540000.00
2025,CADEREYTA DE MONTES,BORDERÍA,10,648464.00,0.00,333799.07,982263.07
2025,CADEREYTA DE MONTES,DINAMISMO AGROALIMENTARIO,92,3371458.00,0.00,4219196.11,7590654.11
2025,CADEREYTA DE MONTES,MAÍZ BLANCO,1003,2597043.00,0.00,0.00,2597043.00
2025,CADEREYTA DE MONTES,PACAS Y SUPLEMENTOS,147,606984.00,0.00,0.00,606984.00
2025,CADEREYTA DE MONTES,TECNIFICACIÓN,1,110000.00,0.00,202639.00,312639.00
2025,COLÓN,APÍCOLAS,10,64377.50,0.00,0.00,64377.50
2025,COLÓN,AVENA Y GARBANZO,168,792450.00,0.00,0.00,792450.00
2025,COLÓN,BORDERÍA,10,789520.00,0.00,1183661.24,1973181.24
2025,COLÓN,DINAMISMO AGROALIMENTARIO,40,1931570.00,0.00,3178053.80,5109623.80
2025,COLÓN,MAÍZ BLANCO,1137,3623304.00,0.00,0.00,3623304.00
2025,COLÓN,MUNICIPALIZADO,196,4000000.00,4000000.00,5710994.00,13710994.00
2025,COLÓN,PACAS Y SUPLEMENTOS,124,515592.00,0.00,0.00,515592.00
2025,CORREGIDORA,APÍCOLAS,4,25751.00,0.00,0.00,25751.00
2025,CORREGIDORA,AVENA Y GARBANZO,219,985725.00,0.00,0.00,985725.00
2025,CORREGIDORA,DINAMISMO AGROALIMENTARIO,23,883635.00,0.00,1371574.98,2255209.98
2025,CORREGIDORA,MAÍZ BLANCO,654,2183207.00,0.00,0.00,2183207.00
2025,CORREGIDORA,MUNICIPALIZADO,549,2000000.00,2000000.00,2160794.00,6160794.00
2025,CORREGIDORA,PACAS Y SUPLEMENTOS,56,18816.00,0.00,0.00,18816.00
2025,EL MARQUÉS,APÍCOLAS,14,86617.00,0.00,0.00,86617.00
2025,EL MARQUÉS,AVENA Y GARBANZO,195,1033825.00,0.00,0.00,1033825.00
2025,EL MARQUÉS,BORDERÍA,6,456686.00,0.00,513475.45,970161.45
2025,EL MARQUÉS,DINAMISMO AGROALIMENTARIO,38,1707900.00,0.00,2937965.61,4645865.61
2025,EL MARQUÉS,MAÍZ BLANCO,1427,4504787.00,0.00,0.00,4504787.00
2025,EL MARQUÉS,PACAS Y SUPLEMENTOS,198,815304.00,0.00,0.00,815304.00
2025,EL MARQUÉS,TECNIFICACIÓN,1,573017.00,0.00,382012.16,955029.16
2025,EZEQUIEL MONTES,APÍCOLAS,1,7023.00,0.00,0.00,7023.00
2025,EZEQUIEL MONTES,AVENA Y GARBANZO,108,378675.00,0.00,0.00,378675.00
