resumen_id,anio,programa_id,beneficiarios,beneficiarios_indir,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total,fuente_archivo,cargado_en,programa_nombre,categoria
3,2022,48,4654,,4654,0.00,29509533.00,29509533.00,41159972.00,100179038.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,PROGRAMA MUNICIPALIZADO,
20,2022,64,23,,23,0.00,1000000.00,0.00,0.00,1000000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,REFORESTACIÓN Y RESTAURACIÓN INTEGRAL,
7,2022,51,3,5861,3,24935036.00,14987524.00,0.00,0.00,39922560.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"SANIDAD E INOCUIDAD AGROALIMENTARIA 
(ACUÍCOLA, VEGETAL Y PECUARIO)",
21,2022,65,13281,,13281,0.00,32459600.00,0.00,0.00,32459600.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,SEGURO AGRÍCOLA CATASTRÓFICO,
22,2022,66,146,,146,0.00,1175292.66,0.00,0.00,1175292.66,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,SEGURO PECUARIO CATASTRÓFICO,
14,2022,58,1,452,1,0.00,3000000.00,0.00,3000000.00,6000000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,SEGURO PORCÍCOLA,
6,2022,50,149,106,149,0.00,26536012.00,0.00,29634245.00,56170257.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,TECNIFICACIÓN DE RIEGO,
36,2023,57,742,25,742,0.00,2660050.00,0.00,0.00,2660050.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,ASISTENCIA TÉCNICA,
37,2023,63,5,,5,0.00,436420.00,0.00,0.00,436420.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,BRIGADAS COMUNITARIAS SANIDAD FORESTAL,
33,2023,45,637,,637,0.00,23415100.00,0.00,36049807.43,59464907.43,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,
