anio,programa,beneficiarios,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total
2025,"FERIAS, EVENTOS Y APOYO A COTAS",3000,12,0.00,40000000.00,0.00,0.00,40000000.00
2025,MAÍZ CONSUMO HUMANO,19640,19640,0.00,45000000.00,0.00,0.00,45000000.00
2025,"PACAS FORRAJERAS CONCENTRADOS, CISTERNAS Y VIAJES DE AGUA",2541,2541,0.00,11628948.00,0.00,0.00,11628948.00
2025,PROGRAMA DE BORDERÍA,35,35,0.00,9742664.00,0.00,4996619.80,14739283.80
2025,PROGRAMA MUNICIPALIZADO,2974,2974,0.00,31500000.00,31500000.00,38349307.45,101349307.45
2025,REFORESTACIÓN Y RESTAURACIÓN INTEGRAL,12,12,0.00,500000.00,0.00,0.00,500000.00
2025,REMOLQUES PIPA PARA DISTRIBUCIÓN DE AGUA (6),28,28,0.00,3178000.00,0.00,0.00,3178000.00
2025,"SANIDAD E INOCUIDAD AGROALIMENTARIA 
(ACUÍCOLA, VEGETAL Y PECUARIO)",3,3,28379274.00,10300000.00,0.00,0.00,38679274.00
2025,"SEMILLA DE AVENA, GARBANZO Y MAÍZ",2998,2998,0.00,12203375.00,0.00,0.00,12203375.00
2025,SUPLEMENTO ALIMENCITIO ACUÍCOLA,72,72,0.00,485179.20,0.00,0.00,485179.20
2025,SUPLEMENTO ALIMENCITIO APÍCOLA,135,135,0.00,765507.00,0.00,0.00,765507.00
2025,TECNIFICACIÓN DE RIEGO,65,65,0.00,6162122.00,0.00,10060942.41,16223064.41
