apoyo_id,anio,programa_id,municipio_id,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total,fuente_archivo,fuente_hoja,cargado_en,programa_nombre,categoria,municipio_nombre,region_nombre
9,2025,38,4,10,0.00,64377.50,0.00,0.00,64377.50,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Apícolas Azúcar,2026-07-30 20:05:33.097295+00,APÍCOLAS,,COLÓN,CADEREYTA
24,2025,39,4,168,0.00,792450.00,0.00,0.00,792450.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,"Avena, Garbanzo 2025",2026-07-30 20:05:33.097295+00,AVENA Y GARBANZO,,COLÓN,CADEREYTA
92,2025,43,4,10,0.00,789520.00,0.00,1183661.24,1973181.24,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Bordería2025Estatal,2026-07-30 20:05:33.097295+00,BORDERÍA,,COLÓN,CADEREYTA
120,2025,45,4,40,0.00,1931570.00,0.00,3178053.80,5109623.80,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2025Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,COLÓN,CADEREYTA
60,2025,41,4,1137,0.00,3623304.00,0.00,0.00,3623304.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Maíz Blanco2025Estatal,2026-07-30 20:05:33.097295+00,MAÍZ BLANCO,,COLÓN,CADEREYTA
74,2025,42,4,196,0.00,4000000.00,4000000.00,5710994.00,13710994.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado2025Estatal,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,COLÓN,CADEREYTA
46,2025,40,4,124,0.00,515592.00,0.00,0.00,515592.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Pacas&Suplementos2025,2026-07-30 20:05:33.097295+00,PACAS Y SUPLEMENTOS,,COLÓN,CADEREYTA
161,2023,45,7,23,0.00,1431626.00,0.00,2030826.40,3462452.40,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2023Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,EZEQUIEL MONTES,CADEREYTA
144,2023,42,7,142,0.00,1000000.00,1000000.00,1042274.00,3042274.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado23Estatal,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,EZEQUIEL MONTES,CADEREYTA
179,2024,45,7,37,0.00,2218519.00,0.00,5403935.27,7622454.27,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2024Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,EZEQUIEL MONTES,CADEREYTA
19,2025,38,7,1,0.00,7023.00,0.00,0.00,7023.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Apícolas Azúcar,2026-07-30 20:05:33.097295+00,APÍCOLAS,,EZEQUIEL MONTES,CADEREYTA
33,2025,39,7,108,0.00,378675.00,0.00,0.00,378675.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,"Avena, Garbanzo 2025",2026-07-30 20:05:33.097295+00,AVENA Y GARBANZO,,EZEQUIEL MONTES,CADEREYTA
123,2025,45,7,31,0.00,1689987.00,0.00,4475729.01,6165716.01,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2025Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,EZEQUIEL MONTES,CADEREYTA
71,2025,41,7,315,0.00,1051886.00,0.00,0.00,1051886.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Maíz Blanco2025Estatal,2026-07-30 20:05:33.097295+00,MAÍZ BLANCO,,EZEQUIEL MONTES,CADEREYTA
86,2025,42,7,51,0.00,1000000.00,1000000.00,2167311.00,4167311.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado2025Estatal,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,EZEQUIEL MONTES,CADEREYTA
53,2025,40,7,24,0.00,100800.00,0.00,0.00,100800.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Pacas&Suplementos2025,2026-07-30 20:05:33.097295+00,PACAS Y SUPLEMENTOS,,EZEQUIEL MONTES,CADEREYTA
